발생일,lat,lng,주소,Address,geometry
2022-12-31,35.1663244,129.1643384,부산광역시 해운대구 중동  1783번길-2,부산광역시 해운대구 중동  1783번길-2,POINT (129.1643384 35.1663244)
2022-12-31,35.15452472,129.0683868,부산광역시 부산진구 전포동  336번길-1,부산광역시 부산진구 전포동  336번길-1,POINT (129.0683867846718 35.15452472414023)
2022-12-31,35.16557778,129.1254417,부산광역시 수영구 수영동  547번길,부산광역시 수영구 수영동  547번길,POINT (129.1254416666667 35.16557777777778)
2022-12-31,35.18445556,129.1139667,부산광역시 동래구 안락동  1081번길-13,부산광역시 동래구 안락동  1081번길-13,POINT (129.1139666666667 35.18445555555555)
2022-12-31,35.25603738,129.2241724,부산광역시 기장군 일광읍 삼성리 80번길-3,부산광역시 기장군 일광읍 삼성리 80번길-3,POINT (129.2241724452578 35.25603738493711)
2022-12-31,35.23625586,129.168691,부산광역시 기장군 철마면 고촌리 693번길,부산광역시 기장군 철마면 고촌리 693번길,POINT (129.1686909683085 35.23625585776281)
2022-12-31,35.23629071,129.1687578,부산광역시 기장군 철마면 고촌리 693번길,부산광역시 기장군 철마면 고촌리 693번길,POINT (129.1687577963558 35.23629070503402)
2022-12-31,35.22583218,129.1460652,부산광역시 해운대구 반송동  71번길-1,부산광역시 해운대구 반송동  71번길-1,POINT (129.1460651688416 35.22583217640188)
2022-12-31,35.22588152,129.1460775,부산광역시 해운대구 반송동  71번길-1,부산광역시 해운대구 반송동  71번길-1,POINT (129.146077450653 35.22588152107807)
2022-12-30,35.1655377,129.1255822,부산광역시 수영구 수영동  547번길,부산광역시 수영구 수영동  547번길,POINT (129.1255822488964 35.16553769850287)
2022-12-30,35.081095,129.07461,부산광역시 영도구 동삼동  254번길-31,부산광역시 영도구 동삼동  254번길-31,POINT (129.07461 35.081095)
2022-12-30,35.234895,129.0138695,부산광역시 북구 화명동  1472번길-2,부산광역시 북구 화명동  1472번길-2,POINT (129.01386945 35.234895)
2022-12-30,35.15068665,128.8327442,부산광역시 강서구 지사동  1240번길,부산광역시 강서구 지사동  1240번길,POINT (128.8327441854643 35.15068664661008)
2022-12-30,35.18802532,129.1261241,부산광역시 해운대구 재송동  1065번길-1,부산광역시 해운대구 재송동  1065번길-1,POINT (129.126124053224 35.18802531631267)
2022-12-30,35.14890932,128.8245162,부산광역시 강서구 지사동  1252번길,부산광역시 강서구 지사동  1252번길,POINT (128.8245162126305 35.1489093185057)
2022-12-30,35.15073076,128.8331045,부산광역시 강서구 지사동  1240번길,부산광역시 강서구 지사동  1240번길,POINT (128.8331045268026 35.15073076005837)
2022-12-31,35.14483464,128.9693278,부산광역시 사상구 감전동  518번길,부산광역시 사상구 감전동  518번길,POINT (128.969327786168 35.14483463588833)
2022-12-31,35.14481555,128.9693932,부산광역시 사상구 감전동  518번길,부산광역시 사상구 감전동  518번길,POINT (128.9693931551468 35.14481554947956)
2022-12-31,35.05290728,128.9663833,부산광역시 사하구 다대동  1640번길,부산광역시 사하구 다대동  1640번길,POINT (128.9663833052095 35.05290728236213)
2022-12-31,35.17479228,129.0670399,부산광역시 부산진구 양정동  502번길-38,부산광역시 부산진구 양정동  502번길-38,POINT (129.0670399051691 35.17479227628461)
2022-12-30,35.1659195,129.1671133,부산광역시 해운대구 중동  1767번길,부산광역시 해운대구 중동  1767번길,POINT (129.1671133333333 35.1659195)
2022-12-30,35.16349432,129.1328869,부산광역시 해운대구 우동  1427번길,부산광역시 해운대구 우동  1427번길,POINT (129.1328868760232 35.16349431727974)
2022-12-30,35.19179919,128.9845234,부산광역시 사상구 삼락동  464번길-1,부산광역시 사상구 삼락동  464번길-1,POINT (128.9845233911923 35.19179918848162)
2022-12-30,35.14709304,129.0589606,부산광역시 부산진구 범천동  946번길-18,부산광역시 부산진구 범천동  946번길-18,POINT (129.0589605810631 35.14709304362569)
2022-12-30,35.2142335,129.0191386,부산광역시 북구 덕천동  460번길-1,부산광역시 북구 덕천동  460번길-1,POINT (129.0191386167495 35.21423350254086)
2022-12-30,35.2510624,129.0147328,부산광역시 북구 금곡동  1108번길,부산광역시 북구 금곡동  1108번길,POINT (129.0147328 35.2510624)
2022-12-30,35.21423362,129.0191318,부산광역시 북구 덕천동  460번길-1,부산광역시 북구 덕천동  460번길-1,POINT (129.019131756634 35.21423361699438)
2022-12-30,35.1546981,129.031792,부산광역시 부산진구 가야동  251번길-5,부산광역시 부산진구 가야동  251번길-5,POINT (129.0317919645024 35.15469810423978)
2022-12-30,35.20078276,129.089151,부산광역시 동래구 낙민동  210번길-1,부산광역시 동래구 낙민동  210번길-1,POINT (129.0891509920169 35.20078276006507)
2022-12-30,35.2772264,129.093223,부산광역시 금정구 노포동  810번길-5,부산광역시 금정구 노포동  810번길-5,POINT (129.0932229668404 35.27722639574703)
2022-12-29,35.23285201,129.1544324,부산광역시 해운대구 반송동  15번길-1,부산광역시 해운대구 반송동  15번길-1,POINT (129.1544323934886 35.23285200860841)
2022-12-29,35.23290586,129.1544448,부산광역시 해운대구 반송동  15번길-1,부산광역시 해운대구 반송동  15번길-1,POINT (129.1544448007362 35.23290585571081)
2022-12-29,35.16741808,129.1290881,부산광역시 해운대구 우동  1291번길,부산광역시 해운대구 우동  1291번길,POINT (129.1290880605217 35.16741808064719)
2022-12-29,35.16790332,129.1376057,부산광역시 해운대구 우동  1127번길-37,부산광역시 해운대구 우동  1127번길-37,POINT (129.1376057267997 35.16790332163953)
2022-12-29,35.186666,129.0534873,부산광역시 연제구 거제동  1517번길,부산광역시 연제구 거제동  1517번길,POINT (129.0534873 35.186666)
2022-12-29,35.27574183,129.0920474,부산광역시 금정구 청룡동  57번길-1,부산광역시 금정구 청룡동  57번길-1,POINT (129.0920474064155 35.27574183418923)
2022-12-29,35.16713652,129.1361206,부산광역시 해운대구 우동  1127번길-46,부산광역시 해운대구 우동  1127번길-46,POINT (129.1361206093018 35.16713652174542)
2022-12-29,35.16655785,129.1349532,부산광역시 해운대구 우동  1127번길-46,부산광역시 해운대구 우동  1127번길-46,POINT (129.13495319763 35.16655784832651)
2022-12-29,35.19273296,129.0786972,부산광역시 연제구 거제동  43번길-1,부산광역시 연제구 거제동  43번길-1,POINT (129.0786971522394 35.19273295860207)
2022-12-29,35.21347788,129.0749986,부산광역시 동래구 온천동  397번길-3,부산광역시 동래구 온천동  397번길-3,POINT (129.0749985702444 35.21347788363529)
2022-12-29,35.15215302,129.0652771,부산광역시 부산진구 전포동  888번길,부산광역시 부산진구 전포동  888번길,POINT (129.0652770996094 35.15215301513672)
2022-12-30,35.18624064,129.1070768,부산광역시 연제구 연산동  403번길-2,부산광역시 연제구 연산동  403번길-2,POINT (129.1070768449663 35.1862406440497)
2022-12-30,35.18618143,129.1071137,부산광역시 연제구 연산동  403번길-2,부산광역시 연제구 연산동  403번길-2,POINT (129.1071137342933 35.18618142727214)
2022-12-30,35.18624889,129.107121,부산광역시 연제구 연산동  403번길-2,부산광역시 연제구 연산동  403번길-2,POINT (129.1071209648268 35.18624888761968)
2022-12-29,35.23035456,129.1504538,부산광역시 해운대구 반송동  799번길-2,부산광역시 해운대구 반송동  799번길-2,POINT (129.150453791628 35.23035455540879)
2022-12-29,35.23623637,129.1687728,부산광역시 기장군 철마면 고촌리 693번길,부산광역시 기장군 철마면 고촌리 693번길,POINT (129.1687728243251 35.23623636779773)
2022-12-28,35.21242737,129.0102999,부산광역시 북구 덕천동  464번길-13,부산광역시 북구 덕천동  464번길-13,POINT (129.0102998800555 35.21242737095839)
2022-12-28,35.05821667,128.9884633,부산광역시 사하구 다대동  1번길-20,부산광역시 사하구 다대동  1번길-20,POINT (128.9884633333333 35.05821666666667)
2022-12-28,35.2124094,129.0102967,부산광역시 북구 덕천동  464번길-21,부산광역시 북구 덕천동  464번길-21,POINT (129.0102966917583 35.21240940062925)
2022-12-28,35.21241922,129.0103161,부산광역시 북구 덕천동  464번길-13,부산광역시 북구 덕천동  464번길-13,POINT (129.0103161496756 35.2124192155227)
2022-12-29,35.1678772,129.050416,부산광역시 부산진구 부암동  42번길-1,부산광역시 부산진구 부암동  42번길-1,POINT (129.0504159622 35.1678771973)
2022-12-29,35.18588967,129.0935445,부산광역시 연제구 연산동  987번길,부산광역시 연제구 연산동  987번길,POINT (129.0935444730378 35.18588967226048)
2022-12-29,35.32500833,129.1887967,부산광역시 기장군 정관읍 방곡리 395번길,부산광역시 기장군 정관읍 방곡리 395번길,POINT (129.1887966666667 35.32500833333334)
2022-12-29,35.11467586,128.9196244,부산광역시 강서구 명지동  387번길-1,부산광역시 강서구 명지동  387번길-1,POINT (128.9196244313487 35.11467586389846)
2022-12-29,35.10793441,128.8881527,부산광역시 강서구 화전동  676번길,부산광역시 강서구 화전동  676번길,POINT (128.8881527266728 35.10793441257916)
2022-12-29,35.08907366,128.8970099,부산광역시 강서구 명지동  3270번길,부산광역시 강서구 명지동  3270번길,POINT (128.8970099111826 35.08907366019812)
2022-12-29,35.15426306,129.1194844,부산광역시 수영구 광안동  205번길,부산광역시 수영구 광안동  205번길,POINT (129.1194844345063 35.15426305629354)
