arsno,bstopid,bstopnm,gpsx,gpsy,stoptype,geometry
01001,167970102,영주삼거리,129.0332616667,35.1153233333,일반,POINT (129.0332616667 35.1153233333)
01002,169310303,영주삼거리,129.03303030469,35.115282635238,일반,POINT (129.03303030469 35.115282635238)
01003,167970301,시민아파트,129.0316783333,35.115075,일반,POINT (129.0316783333 35.115075)
01004,167840102,시민아파트,129.032159888187,35.114921364382,일반,POINT (129.032159888187 35.114921364382)
01005,167970302,중앙공원.민주공원입구,129.0298583333,35.1144733333,일반,POINT (129.0298583333 35.1144733333)
01006,167840101,중앙공원.민주공원입구,129.03008865985,35.114344170943,일반,POINT (129.03008865985 35.114344170943)
01007,167840201,중앙공원.민주공원입구,129.0296516667,35.11397,일반,POINT (129.0296516667 35.11397)
01008,167970201,동아아파트,129.0304266667,35.1139666667,일반,POINT (129.0304266667 35.1139666667)
01009,168020203,동아아파트,129.030288307279,35.113201093042,일반,POINT (129.030288307279 35.113201093042)
01010,167660301,부산터널위,129.031769,35.113068,일반,POINT (129.031769 35.113068)
01011,167840202,동주파크맨션,129.02967,35.1114416667,일반,POINT (129.02967 35.1114416667)
01012,167830103,동주파크맨션,129.029845,35.1113366667,일반,POINT (129.029845 35.1113366667)
01013,168020202,금호아파트,129.03072,35.1114966667,일반,POINT (129.03072 35.1114966667)
01014,167970202,금호아파트,129.0306866667,35.111095,일반,POINT (129.0306866667 35.111095)
01015,167840203,청운아파트,129.0305383333,35.109655,일반,POINT (129.0305383333 35.109655)
01016,167830102,청운아파트,129.0307116667,35.1095733333,일반,POINT (129.0307116667 35.1095733333)
01017,168020201,부산디지털고,129.031799,35.109566,일반,POINT (129.031799 35.109566)
01018,167970203,부산디지털고,129.0319816667,35.109475,일반,POINT (129.0319816667 35.109475)
01019,167840204,부산디지털고,129.0302916667,35.1077866667,일반,POINT (129.0302916667 35.1077866667)
01020,167830101,부산디지털고,129.0309883333,35.1080716667,일반,POINT (129.0309883333 35.1080716667)
01021,168020102,중구청.메리놀병원,129.032933295156,35.107534471459,일반,POINT (129.032933295156 35.107534471459)
01022,167910201,중구청.메리놀병원,129.0339333333,35.1077283333,일반,POINT (129.0339333333 35.1077283333)
01023,167910101,중구청.메리놀병원,129.03372019964,35.108088719431,일반,POINT (129.03372019964 35.108088719431)
01024,167910102,거북맨션,129.033933936088,35.109796229546,일반,POINT (129.033933936088 35.109796229546)
01025,168020101,거북맨션,129.033713958885,35.109738632812,일반,POINT (129.033713958885 35.109738632812)
