구군,동수(개소),세대수(세대),인구수(명),남자인구수(명),여자인구수(명),시전체 인구에 대한 구성비(퍼센트),면적(제곱킬로미터),인구밀도(제곱킬로미터 당 명수)
중구,9,23960,41909,20725,21184,1.244607611,2.83,14809
서구,13,53626,107402,52118,55284,3.18960955,13.95,7699
동구,12,46349,88601,43284,45317,2.631260086,9.87,8977
영도구,11,54342,110254,54498,55756,3.274307847,14.2,7764
부산진구,20,178049,358644,172214,186430,10.65095927,29.67,12088
동래구,13,119503,274445,132739,141706,8.150429164,16.63,16503
남구,17,117601,262253,128182,134071,7.788352856,26.82,9778
북구,13,123569,280940,138213,142727,8.343316764,39.37,7136
해운대구,18,170435,391763,187958,203805,11.63452269,51.54,7601
사하구,16,140778,306511,152728,153783,9.10272074,41.77,7338
금정구,16,106950,225717,109797,115920,6.703311846,65.28,3458
강서구,8,62426,148257,78413,69844,4.402915617,181.5,817
연제구,12,93557,204504,97988,106516,6.073331144,12.1,16901
수영구,10,87361,176615,82951,93664,5.245087529,10.22,17281
사상구,12,98625,208553,105119,103434,6.193577778,36.1,5777
기장군,5,78736,180878,89880,90998,5.371689505,218.32,828
