mgrnu,name,confirm_da,address,sigungu,ins_place,road,road_type,ins_date,lng,lat,geometry
9077.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 1119-57,해운대구,벡스코역앞,,교차로,2020-01-01,129.1352778,35.17137542,POINT (129.1352778 35.17137542)
9022.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우1동 1388-101,해운대구,해강초등학교,해운대해변로,단일로,1999-01-01,129.1423743,35.16147385,POINT (129.1423743 35.16147385)
9024.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우1동 1405-5,해운대구,대우마리나1차,해운대해변로,교차로,1999-01-01,129.1445819,35.15922657,POINT (129.1445819 35.15922657)
9025.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우1동 1406-2,해운대구,대우마리나2차,해운대해변로,교차로,1999-01-01,129.146491,35.15839725,POINT (129.146491 35.15839725)
9026.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우1동 1434-3,해운대구,대우마리나센터,해운대해변로,교차로,1999-01-01,129.1485286,35.15811652,POINT (129.1485286 35.15811652)
9027.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우1동 759-18,해운대구,동백섬입구,해운대해변로,교차로,2010-10-01,129.1524714,35.15829536,POINT (129.1524714 35.15829536)
9028.0,전자신호제어,2020-12-31,부산광역시 해운대구 반여동 1502-104,해운대구,해운대구 자원재활용센터,,교차로,2017-07-01,129.1366511,35.21783699,POINT (129.1366511 35.21783699)
9029.0,전자신호 제어,2020-12-31,부산광역시 해운대구 중1동 1417-17,해운대구,바다파출소,해운대해변로,교차로,2009-06-01,129.1608454,35.15980175,POINT (129.1608454 35.15980175)
9030.0,전자신호 제어,2020-12-31,부산광역시 해운대구 중1동 1394-340,해운대구,해운대예식장(노보텔앞삼거리),해운대해변로,교차로,1999-01-01,129.1639446,35.16161981,POINT (129.1639446 35.16161981)
9031.0,전자신호 제어,2020-12-31,부산광역시 해운대구 중1동 1398-7,해운대구,동성장여관(해운대온천사거리),해운대해변로,교차로,2013-04-02,129.1652632,35.16249047,POINT (129.1652632 35.16249047)
9032.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 961-5,해운대구,롯데아파트(대우마리나),해운대로,단일로,1999-01-01,129.1451271,35.16288103,POINT (129.1451271 35.16288103)
9033.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우2동 1081-5,해운대구,우2동교회,,단일로,1999-01-01,129.1412106,35.16695623,POINT (129.1412106 35.16695623)
9034.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우1동 649-8,해운대구,글로리콘도,해운대해변로,단일로,1999-01-01,129.1573778,35.15908682,POINT (129.1573778 35.15908682)
9035.0,전자신호 제어,2020-12-31,부산광역시 해운대구 송정동 106-7,해운대구,송덕주유소,,단일로,2005-03-01,129.2037946,35.19031728,POINT (129.2037946 35.19031728)
9036.0,일반신호 제어,2020-12-31,부산광역시 해운대구 반송2동 62-511,해운대구,부산은행반송동 지점,,교차로,1997-01-01,129.1568888,35.23059778,POINT (129.1568888 35.23059778)
9037.0,일반신호 제어,2020-12-31,부산광역시 해운대구 반송2동 195-1,해운대구,운봉초교(광화탕),,단일로,1997-02-01,129.1602888,35.22943848,POINT (129.1602888 35.22943848)
9038.0,전자신호제어,2020-12-31,부산광역시 해운대구 재송동 1476-339,해운대구,센텀리슈빌1단지 103동,,교차로,2015-04-21,129.1243952,35.18615991,POINT (129.1243952 35.18615991)
9039.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌동 1479-3,해운대구,벽산1차아파트(19)(NC백화점),해운대로,교차로,2000-03-01,129.1776713,35.1696715,POINT (129.1776713 35.1696715)
9040.0,일반신호 제어,2020-12-31,부산광역시 해운대구 우1동 1388-107,해운대구,대우마리나아파트1차단지(상가옆),,교차로,1998-07-01,129.1423743,35.16147385,POINT (129.1423743 35.16147385)
9041.0,일반신호 제어,2020-12-31,부산광역시 해운대구 우1동 1388-110,해운대구,대우마리나아파트2차단지,,교차로,1998-07-01,129.1423743,35.16147385,POINT (129.1423743 35.16147385)
9042.0,전자신호제어,2020-12-31,부산광역시 해운대구 재송동 856-3,해운대구,해운대자동차검사소,,교차로,2018-03-01,129.1200689,35.1845325,POINT (129.1200689 35.1845325)
9043.0,전자신호 제어,2020-12-31,부산광역시 해운대구 송정동 134-8,해운대구,(구) 송정검문소(송정삼거리),해운대로,교차로,2005-03-01,129.2009486,35.18420721,POINT (129.2009486 35.18420721)
9044.0,일반신호 제어,2020-12-31,부산광역시 해운대구 송정동 200-17,해운대구,송정초교,,단일로,1994-02-01,129.2033011,35.18292191,POINT (129.2033011 35.18292191)
9045.0,일반신호 제어,2020-12-31,부산광역시 해운대구 우1동 265-4,해운대구,해운대고교,,교차로,2001-08-01,129.1624168,35.16994523,POINT (129.1624168 35.16994523)
9046.0,일반신호 제어,2020-12-31,부산광역시 해운대구 중1동 1378-3,해운대구,해운대초교,,교차로,2005-05-01,129.1645746,35.1626954,POINT (129.1645746 35.1626954)
9047.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 569-1,해운대구,한주주차장(중동지하차도입구),해운대로,교차로,2001-10-01,129.1624787,35.16581631,POINT (129.1624787 35.16581631)
9048.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 594-9,해운대구,해운대전화국입구 (스펀지 앞),해운대로,교차로,2001-08-01,129.1600309,35.1642714,POINT (129.1600309 35.1642714)
9049.0,일반신호 제어,2020-12-31,부산광역시 해운대구 재송1동 1118-46,해운대구,재송초교입구,,단일로,2005-11-01,129.1263935,35.18457292,POINT (129.1263935 35.18457292)
9050.0,일반신호 제어,2020-12-31,부산광역시 해운대구 재송1동 1090-5,해운대구,재송초교,,교차로,2002-01-01,129.1253028,35.18589007,POINT (129.1253028 35.18589007)
9103.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌2동 1331-109,해운대구,"영남아파트(6),(7)직결",좌동순환로,교차로,1996-05-01,129.1807363,35.16603612,POINT (129.1807363 35.16603612)
9104.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌2동 1450-316,해운대구,경남선경아파트(8)직결,,교차로,1996-05-01,129.1842077,35.16547037,POINT (129.1842077 35.16547037)
9105.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌2동 1327-3,해운대구,좌산초교입구(9),좌동순환로,교차로,1996-05-01,129.1826233,35.16900125,POINT (129.1826233 35.16900125)
9106.0,전자신호 제어,2020-12-31,부산광역시 해운대구 중1동 1777-5,해운대구,성심병원입구(10),좌동순환로,교차로,1996-05-01,129.1709064,35.16182305,POINT (129.1709064 35.16182305)
9107.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌동 1334,해운대구,대우아파트(11)(푸른유치원앞 삼거리),양운로,단일로,1996-05-01,129.1791059,35.16563738,POINT (129.1791059 35.16563738)
9108.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌2동 718-27,해운대구,현대아파트(13),양운로,교차로,1996-05-01,129.1736286,35.18242924,POINT (129.1736286 35.18242924)
9109.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌2동 1485-4,해운대구,두산아파트(14),,교차로,1996-05-01,129.1790717,35.16782807,POINT (129.1790717 35.16782807)
9110.0,전자신호 제어,2020-12-31,부산광역시 해운대구 중1동 1271-1,해운대구,과선교아래(15),좌동순환로,교차로,1996-05-01,129.1693927,35.16495646,POINT (129.1693927 35.16495646)
9111.0,전자신호 제어,2020-12-31,부산광역시 해운대구 중동 1785,해운대구,동일아파트(16),해운대로,교차로,2013-04-03,129.1725872,35.16726913,POINT (129.1725872 35.16726913)
9112.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌동 1479-1,해운대구,장산역(18),"해운대로,양운로",교차로,2000-05-01,129.176665,35.1691585,POINT (129.176665 35.1691585)
9113.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌동 1435,해운대구,한라아파트(20)(해운대백병원),"해운대로,좌동순환로",교차로,2000-03-01,129.1821691,35.17326019,POINT (129.1821691 35.17326019)
9114.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌동 1461-1,해운대구,국민문화회관(22),좌동로,교차로,1996-05-01,129.1538661,35.19171428,POINT (129.1538661 35.19171428)
9115.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌1동 395-3,해운대구,좌동사무소입구(23),좌동로,교차로,1996-05-01,129.1763429,35.17270405,POINT (129.1763429 35.17270405)
9116.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌1동 1305-1,해운대구,좌동버스종점(24),좌동로,교차로,1996-05-01,129.1787854,35.17384305,POINT (129.1787854 35.17384305)
9117.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌4동 1429-6,해운대구,"부흥중학교(25),(43)직결",좌동순환로,교차로,1996-05-01,129.180531,35.17461023,POINT (129.180531 35.17461023)
9118.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌동 1426,해운대구,좌산지하도(26)(26-1)직결,해운대로,교차로,2013-04-04,129.1837499,35.17552522,POINT (129.1837499 35.17552522)
9119.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌3동 1347-3,해운대구,장군관사입구(27),좌동순환로,교차로,1996-05-01,129.1672652,35.16815888,POINT (129.1672652 35.16815888)
9120.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌3동 1348-111,해운대구,한일아파트(29),,교차로,1996-05-01,129.1688893,35.17042369,POINT (129.1688893 35.17042369)
9121.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌3동 1273-103,해운대구,"대창아파트(30),(34)직결",,교차로,1996-05-01,129.169535,35.17258076,POINT (129.169535 35.17258076)
9122.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌1동 865-1,해운대구,대림아파트(31),양운로,교차로,2013-04-04,129.1727713,35.1739646,POINT (129.1727713 35.1739646)
9123.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌1동 1295-7,해운대구,"건영아파트(33),(32)직결",,교차로,1996-05-01,129.1751859,35.17468931,POINT (129.1751859 35.17468931)
9124.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌1동 1300-309,해운대구,좌동초교(35),,교차로,1996-05-01,129.1774305,35.17656038,POINT (129.1774305 35.17656038)
9125.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌3동 1341-25,해운대구,신도초교 (36),좌동순환로,단일로,1996-05-01,129.1661499,35.16999944,POINT (129.1661499 35.16999944)
9126.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌3동 1270-6,해운대구,대해고교 (37),좌동순환로,교차로,1996-05-01,129.1673384,35.17251184,POINT (129.1673384 35.17251184)
9127.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌3동 1368-1,해운대구,양운초교입구,좌동순환로,교차로,1996-05-01,129.1669039,35.17359769,POINT (129.1669039 35.17359769)
9128.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌3동 1278-405,해운대구,양운중학교 (39),좌동순환로,교차로,1996-05-01,129.1689235,35.17357819,POINT (129.1689235 35.17357819)
9129.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌3동 1395학,해운대구,양운고교 교차로,양운로,교차로,1996-05-01,129.1706012,35.17803281,POINT (129.1706012 35.17803281)
9001.0,전자신호 제어,2020-12-31,부산광역시 해운대구 반송1동 535답,해운대구,석대사거리,반송로,교차로,1998-02-01,129.1210743,35.2169188,POINT (129.1210743 35.2169188)
9002.0,전자신호 제어,2020-12-31,부산광역시 해운대구 반송1동 493-1,해운대구,석대꽃농원앞,반송로,교차로,1998-02-01,129.1248735,35.21921808,POINT (129.1248735 35.21921808)
9003.0,전자신호 제어,2020-12-31,부산광역시 해운대구 반송1동 226답,해운대구,석대진개장(연산종합농산),반송로,교차로,1998-02-01,129.1286124,35.22031897,POINT (129.1286124 35.22031897)
9004.0,전자신호 제어,2020-12-31,부산광역시 해운대구 반여동 1536-4,해운대구,원동IC㈜샤니(왕자맨션),해운대로,교차로,2013-04-04,129.1179414,35.19352093,POINT (129.1179414 35.19352093)
9005.0,전자신호 제어,2020-12-31,부산광역시 해운대구 재송동 933-8,해운대구,반여삼익아파트,해운대로,교차로,2014-12-19,129.1202464,35.19185909,POINT (129.1202464 35.19185909)
9006.0,전자신호 제어,2020-12-31,부산광역시 해운대구 재송동 897-7,해운대구,할렐루야의원(신라스크린골프),해운대로,교차로,2010-03-01,129.1209488,35.18784143,POINT (129.1209488 35.18784143)
9007.0,전자신호 제어,2020-12-31,부산광역시 해운대구 재송동 862-21,해운대구,해운대서,해운대로,교차로,2010-03-01,129.1211264,35.18558633,POINT (129.1211264 35.18558633)
9008.0,전자신호 제어,2020-12-31,부산광역시 해운대구 재송동 340-11,해운대구,동부지청,해운대로,교차로,1997-02-01,129.1225577,35.18268863,POINT (129.1225577 35.18268863)
1038.0,일반신호 제어,2020-12-31,부산광역시 중구 중앙동7가 82,중구,롯데콘도주변,,단일로,2014-04-05,129.0367048,35.09830894,POINT (129.0367048 35.09830894)
9009.0,전자신호 제어,2020-12-31,부산광역시 해운대구 재송동 665-3,해운대구,유창맨션,해운대로,교차로,2006-03-01,129.1261956,35.17898619,POINT (129.1261956 35.17898619)
9010.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 1211,해운대구,수영역(센텀큐상가),해운대로,교차로,1997-02-01,129.1325438,35.1728516,POINT (129.1325438 35.1728516)
9011.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 1119-14,해운대구,삼호가든,해운대로,교차로,1997-02-01,129.1356706,35.1711367,POINT (129.1356706 35.1711367)
9012.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 1090-2,해운대구,올림픽사거리,해운대로,교차로,1998-02-01,129.1385271,35.16894653,POINT (129.1385271 35.16894653)
9013.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 1000-1,해운대구,승당삼거리,해운대로,교차로,2010-03-01,129.1433625,35.16385318,POINT (129.1433625 35.16385318)
9014.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 807-2,해운대구,운촌삼거리,해운대로,교차로,1998-02-01,129.1491987,35.16049882,POINT (129.1491987 35.16049882)
9015.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 887-3,해운대구,기계공고,해운대로,교차로,2014-12-19,129.1537689,35.16078884,POINT (129.1537689 35.16078884)
9016.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 641-1,해운대구,해변주유소,해운대로,교차로,1998-02-01,129.1561751,35.16173937,POINT (129.1561751 35.16173937)
9017.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 539-15,해운대구,해운대역(시외버스터미널),해운대로,교차로,1998-02-01,129.1588982,35.16335383,POINT (129.1588982 35.16335383)
9018.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 1495,해운대구,천일자동차학원(센텀시티입구),,교차로,2007-12-01,129.1290824,35.16863843,POINT (129.1290824 35.16863843)
9019.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 1291-34,해운대구,올림픽동산,,교차로,1999-01-01,129.13101,35.16436589,POINT (129.13101 35.16436589)
9020.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우2동 1425제,해운대구,수영2호교(해운대),해운대해변로,교차로,2010-03-01,129.1334578,35.16278359,POINT (129.1334578 35.16278359)
9021.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우1동 1388학,해운대구,요트경기장,해운대해변로,교차로,2013-04-02,129.1420088,35.16202714,POINT (129.1420088 35.16202714)
9181.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌4동 1398-119,해운대구,상당초교앞,,단일로,2001-06-01,129.1734365,35.18052018,POINT (129.1734365 35.18052018)
9182.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌3동 1385,해운대구,양운고교,양운로,교차로,2001-06-01,129.1689092,35.177941,POINT (129.1689092 35.177941)
9183.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 1127-46,해운대구,BEXCO(육교),,교차로,2001-04-01,129.1359648,35.16704165,POINT (129.1359648 35.16704165)
9184.0,일반신호 제어,2020-12-31,부산광역시 해운대구 반여1동 1242-14,해운대구,아세안 선수촌 단지내(3) (신촌주유소),,교차로,2001-05-01,129.1251247,35.2048027,POINT (129.1251247 35.2048027)
9185.0,일반신호 제어,2020-12-31,부산광역시 해운대구 반여1동 1190-9,해운대구,우방아파트(1),,교차로,2000-06-01,129.1168963,35.20299509,POINT (129.1168963 35.20299509)
9186.0,일반신호 제어,2020-12-31,부산광역시 해운대구 반여1동 1192-1,해운대구,우방아파트(2),,교차로,2000-06-01,129.116969,35.20429241,POINT (129.116969 35.20429241)
9187.0,전자신호 제어,2020-12-31,부산광역시 해운대구 반여1동 1481-4,해운대구,왕자맨션,,교차로,2001-07-01,129.1189436,35.19453924,POINT (129.1189436 35.19453924)
9188.0,전자신호 제어,2020-12-31,부산광역시 해운대구 반여1동 1322-27,해운대구,반여대우아파트입구,,교차로,2001-07-01,129.1212649,35.19565348,POINT (129.1212649 35.19565348)
9194.0,전자신호 제어,2020-12-31,부산광역시 해운대구 반여1동 1638-111,해운대구,아세안 선수촌 단지내(2)_11동앞,,교차로,2001-05-01,129.1216061,35.20209519,POINT (129.1216061 35.20209519)
9195.0,전자신호 제어,2020-12-31,부산광역시 해운대구 반여1동 1619-111,해운대구,인지초교(인주중학교),,교차로,2012-04-20,129.1233873,35.20463858,POINT (129.1233873 35.20463858)
9196.0,전자신호 제어,2020-12-31,부산광역시 해운대구 반여1동 1641-104,해운대구,아세안 선수촌 단지내(6),,교차로,2012-04-20,129.1217368,35.1996242,POINT (129.1217368 35.1996242)
9199.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 1500,해운대구,센텀시티역(벡스코앞),,교차로,2002-09-01,129.1360149,35.16906028,POINT (129.1360149 35.16906028)
9202.0,일반신호 제어,2020-12-31,부산광역시 해운대구 우1동 1434-2,해운대구,까멜리아아파트(하이페리온),,교차로,2002-09-01,129.1482307,35.15722698,POINT (129.1482307 35.15722698)
9203.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 1435,해운대구,까르푸 뒤 사거리(썬프라자 뒤),,교차로,2002-09-01,129.1469274,35.15664443,POINT (129.1469274 35.15664443)
9205.0,전자신호 제어,2020-12-31,부산광역시 해운대구 반여1동 1652,해운대구,반여낙천대2차(무정초교),,교차로,2003-06-01,129.123034,35.19733166,POINT (129.123034 35.19733166)
9209.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 산 155-3,해운대구,새한센시빌,해운대로,교차로,2012-04-20,129.1309674,35.17554345,POINT (129.1309674 35.17554345)
9210.0,전자신호 제어,2020-12-31,부산광역시 해운대구 재송동 1208-1,해운대구,센텀시티 8지점(직결:7지점)(극동방송),,교차로,2010-10-01,129.1243741,35.17587533,POINT (129.1243741 35.17587533)
9211.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 1473,해운대구,센텀시티 15지점(대우월드마크 103동),,교차로,2010-10-01,129.1305596,35.17225721,POINT (129.1305596 35.17225721)
9212.0,일반신호 제어,2020-12-31,부산광역시 해운대구 반송1동 261-29,해운대구,반송 낙원탕 앞,,단일로,2004-05-01,129.1484484,35.22723501,POINT (129.1484484 35.22723501)
9215.0,전자신호 제어,2020-12-31,부산광역시 해운대구 우동 1466,해운대구,"센텀시티34,35지점(에이지웍스)",,교차로,2004-08-01,129.1250309,35.17334535,POINT (129.1250309 35.17334535)
9216.0,일반신호 제어,2020-12-31,부산광역시 해운대구 우동 1467,해운대구,센텀시티36지점(영화의전당 뒤),,교차로,2004-08-01,129.1270371,35.17076674,POINT (129.1270371 35.17076674)
9217.0,일반신호 제어,2020-12-31,부산광역시 해운대구 우동 1493,해운대구,센텀시티37지점(신세계백화점B),,교차로,2004-08-01,129.128287,35.16986272,POINT (129.128287 35.16986272)
9218.0,전자신호 제어,2020-12-31,부산광역시 해운대구 좌2동 1478-1,해운대구,장산역주변,양운로,교차로,2004-12-01,129.176962,35.16844352,POINT (129.176962 35.16844352)
9219.0,전자신호 제어,2020-12-31,부산광역시 해운대구 중1동 243-4,해운대구,미화당슈퍼마켓,좌동로,단일로,2004-03-01,129.171617,35.17002774,POINT (129.171617 35.17002774)
9220.0,전자신호 제어,2020-12-31,부산광역시 해운대구 중1동 1317-3,해운대구,해운대태양공원,좌동로,교차로,2004-03-01,129.1698581,35.16755695,POINT (129.1698581 35.16755695)
9222.0,일반신호 제어,2020-12-31,부산광역시 해운대구 좌동 1357-10,해운대구,경원프라우드빌,,교차로,2004-07-01,129.1645941,35.16713902,POINT (129.1645941 35.16713902)
9224.0,일반신호 제어,2020-12-31,부산광역시 해운대구 재송동 1197,해운대구,센텀시티3지점(센텀파크2차 206동),,교차로,2005-04-01,129.1232823,35.17950002,POINT (129.1232823 35.17950002)
9052.0,일반신호 제어,2020-12-31,부산광역시 해운대구 반여2동 1291-1390,해운대구,반여시장입구(반석교회),,단일로,2000-03-01,129.1291074,35.19502166,POINT (129.1291074 35.19502166)
