월,일,lat,lng,주소,geometry
12,31,35.17655775,129.0723584,부산광역시 부산진구 양정동  322번길,POINT (129.0723583540896 35.17655774837159)
12,31,35.20022417,129.0801177,부산광역시 동래구 수안동  7번길,POINT (129.0801176963996 35.20022417480155)
12,31,35.25659772,129.0844415,부산광역시 금정구 구서동  1040번길,POINT (129.084441528586 35.25659771934729)
12,31,35.27265642,129.240392,부산광역시 기장군 일광읍 이천리 609번길,POINT (129.2403920423925 35.27265641990351)
12,30,35.24010186,129.008278,부산광역시 북구 화명동  1718번길,POINT (129.0082779714101 35.24010186019319)
12,30,35.10126402,129.0196089,부산광역시 서구 아미동1가  34번길,POINT (129.0196088565356 35.10126402039185)
12,30,35.1664287,129.1120268,부산광역시 수영구 광안동  1067번길,POINT (129.1120268 35.1664287)
12,31,35.1540798,128.9867668,부산광역시 사상구 감전동  175번길,POINT (128.9867668102259 35.15407980220831)
12,31,35.15482,128.9826134,부산광역시 사상구 감전동  175번길,POINT (128.9826134 35.15482)
12,30,35.2510624,129.0147328,부산광역시 북구 금곡동  1108번길,POINT (129.0147328 35.2510624)
12,30,35.17027501,129.0539452,부산광역시 부산진구 연지동  194번길,POINT (129.0539451993413 35.17027500903484)
12,30,35.2305697,129.0067873,부산광역시 북구 화명동  2251번길,POINT (129.0067873 35.2305697)
12,29,35.20435081,129.099206,부산광역시 동래구 명장동  184번길,POINT (129.0992060446474 35.20435081135697)
12,29,35.20585879,129.0702537,부산광역시 동래구 온천동  1486번길,POINT (129.0702536595498 35.20585878957101)
12,28,35.19977273,129.1314475,부산광역시 해운대구 반여동  1581번길,POINT (129.1314474596155 35.19977273003825)
12,28,35.1207025,129.0419152,부산광역시 동구 초량동  1142번길,POINT (129.041915235106 35.12070250174163)
12,27,35.32070374,129.1742677,부산광역시 기장군 정관읍 매학리 737번길,POINT (129.174267669689 35.32070373971205)
12,27,35.1278941,128.9769711,부산광역시 사상구 엄궁동  727번길,POINT (128.9769711244992 35.12789409924264)
12,27,35.08728095,128.8780117,부산광역시 강서구 신호동  215번길,POINT (128.878011727074 35.08728094565816)
12,27,35.19131019,128.983293,부산광역시 사상구 삼락동  75번길,POINT (128.9832929699612 35.19131019044186)
12,27,35.15692335,129.0547972,부산광역시 부산진구 부전동  576번길,POINT (129.0547972299059 35.15692335027666)
12,26,35.18929382,129.208781,부산광역시 기장군 기장읍 당사리 523번길,POINT (129.2087810464456 35.1892938156185)
12,26,35.32759459,129.2790695,부산광역시 기장군 장안읍 월내리 4번길,POINT (129.2790695218641 35.327594594874)
12,26,35.15084845,129.0575136,부산광역시 부산진구 부전동  576번길,POINT (129.0575136378407 35.15084844972881)
12,25,35.32800917,129.2807374,부산광역시 기장군 장안읍 월내리 618번길,POINT (129.2807373587799 35.32800917057428)
12,26,35.15738079,128.9848171,부산광역시 사상구 감전동  177번길,POINT (128.9848170650054 35.15738078821179)
12,26,35.260074,129.0858924,부산광역시 금정구 구서동  1015번길,POINT (129.0858924 35.260074)
12,25,35.25735113,129.0846476,부산광역시 금정구 구서동  1040번길,POINT (129.0846475952574 35.25735112944314)
12,25,35.25623839,129.0877721,부산광역시 금정구 구서동  262번길,POINT (129.0877721413794 35.25623839393241)
12,24,35.12233185,129.0428224,부산광역시 동구 초량동  1142번길,POINT (129.0428224078099 35.12233184544019)
12,24,35.1079947,128.9201631,부산광역시 강서구 명지동  3326번길,POINT (128.9201631308867 35.10799469882738)
12,24,35.23065179,129.1575482,부산광역시 해운대구 반송동  209번길,POINT (129.157548173652 35.23065178817675)
12,24,35.2579844,129.0910305,부산광역시 금정구 구서동  262번길,POINT (129.0910304772741 35.25798439630238)
12,24,35.16879559,128.9800516,부산광역시 사상구 삼락동  462번길,POINT (128.9800516427159 35.16879559312393)
12,24,35.19761543,129.1311386,부산광역시 해운대구 반여동  1291번길,POINT (129.1311385789334 35.19761542575789)
12,23,35.06989441,128.9777132,부산광역시 사하구 장림동  506번길,POINT (128.977713224862 35.0698944057329)
12,22,35.08493055,128.98329,부산광역시 사하구 신평동  569번길,POINT (128.9832899934758 35.08493054540107)
12,22,35.21083669,129.0296106,부산광역시 북구 만덕동  934번길,POINT (129.0296106180492 35.21083668528124)
12,22,35.16130943,129.0655436,부산광역시 부산진구 전포동  179번길,POINT (129.0655436387064 35.16130942659431)
12,21,35.15642629,129.0479651,부산광역시 부산진구 범천동  1071번길,POINT (129.0479650932788 35.15642628525421)
12,22,35.17507226,129.1077593,부산광역시 수영구 망미동  413번길,POINT (129.107759265979 35.1750722581785)
12,22,35.0806687,128.9698395,부산광역시 사하구 장림동  331번길,POINT (128.9698395209639 35.08066870362241)
12,22,35.19673662,129.0823506,부산광역시 연제구 거제동  155번길,POINT (129.0823506398373 35.19673661905566)
12,22,35.17432232,129.0484277,부산광역시 부산진구 초읍동  659번길,POINT (129.048427693591 35.17432232470097)
12,21,35.18654951,129.1254929,부산광역시 해운대구 재송동  1139번길,POINT (129.1254928513155 35.18654951032634)
12,21,35.19946648,129.1314395,부산광역시 해운대구 반여동  1581번길,POINT (129.131439455392 35.19946648243531)
12,21,35.1909439,129.111271,부산광역시 동래구 안락동  183번길,POINT (129.111271 35.1909439)
12,21,35.22013986,129.0882141,부산광역시 금정구 부곡동  398번길,POINT (129.088214061792 35.22013985691061)
12,20,35.14387422,129.1093355,부산광역시 수영구 남천동  78번길,POINT (129.1093355493026 35.1438742185154)
12,20,35.21255477,129.0736773,부산광역시 동래구 온천동  397번길,POINT (129.073677301713 35.2125547711236)
12,20,35.16922954,129.1218922,부산광역시 수영구 수영동  438번길,POINT (129.1218921898369 35.16922954055341)
12,20,35.19305461,129.2208016,부산광역시 기장군 기장읍 시랑리 393번길,POINT (129.2208015895123 35.1930546051915)
12,20,35.1906639,129.1098343,부산광역시 동래구 안락동  116번길,POINT (129.1098343 35.1906639)
12,20,35.1906707,129.1098452,부산광역시 동래구 안락동  183번길,POINT (129.1098452 35.1906707)
12,20,35.26505888,129.0938658,부산광역시 금정구 남산동  7번길,POINT (129.0938657564346 35.26505887627552)
12,19,35.1920533,129.128183,부산광역시 해운대구 재송동  1065번길,POINT (129.1281830235934 35.19205329947565)
12,19,35.19403196,129.089741,부산광역시 동래구 수안동  16번길,POINT (129.0897410352047 35.19403196301108)
12,19,35.09008928,128.9731087,부산광역시 사하구 신평동  583번길,POINT (128.9731086535416 35.09008927681816)
12,19,35.13860946,129.0809263,부산광역시 남구 대연동  1779번길,POINT (129.0809263101034 35.13860946437298)
12,18,35.16311296,129.1414747,부산광역시 해운대구 우동  1002번길,POINT (129.1414746966045 35.16311295764972)
12,19,35.15019748,129.0313253,부산광역시 부산진구 가야동  588번길,POINT (129.031325311006 35.1501974771473)
12,9,35.1589359,129.1220133,부산광역시 수영구 민락동  161번길,POINT (129.1220133 35.1589359)
12,7,35.32056219,129.1903409,부산광역시 기장군 정관읍 달산리 1227번길,POINT (129.1903409042711 35.32056219130685)
12,9,35.22536785,129.0058336,부산광역시 북구 화명동  2250번길,POINT (129.0058335980203 35.22536785011462)
12,9,35.21110741,129.0042405,부산광역시 북구 덕천동  460번길,POINT (129.0042405022691 35.2111074060204)
12,10,35.22229177,129.0906687,부산광역시 금정구 부곡동  398번길,POINT (129.0906686978112 35.222291769082)
12,10,35.08673194,128.9650901,부산광역시 사하구 신평동  370번길,POINT (128.9650900531245 35.0867319385822)
