"행정구역","2023년09월_총인구수","2023년09월_세대수","2023년09월_세대당 인구","2023년09월_남자 인구수","2023년09월_여자 인구수","2023년09월_남여 비율"
"서울특별시  (1100000000)","9,407,540","4,475,726","          2.10","4,552,501","4,855,039","          0.94"
"서울특별시 종로구 (1111000000)","139,945","72,304","          1.94","67,625","72,320","          0.94"
"서울특별시 중구 (1114000000)","121,405","64,609","          1.88","58,788","62,617","          0.94"
"서울특별시 용산구 (1117000000)","216,152","109,360","          1.98","103,804","112,348","          0.92"
"서울특별시 성동구 (1120000000)","278,366","133,366","          2.09","135,143","143,223","          0.94"
"서울특별시 광진구 (1121500000)","336,604","170,388","          1.98","161,892","174,712","          0.93"
"서울특별시 동대문구 (1123000000)","341,238","173,091","          1.97","167,468","173,770","          0.96"
"서울특별시 중랑구 (1126000000)","382,797","187,900","          2.04","187,844","194,953","          0.96"
"서울특별시 성북구 (1129000000)","427,671","197,607","          2.16","205,245","222,426","          0.92"
"서울특별시 강북구 (1130500000)","290,155","144,269","          2.01","140,589","149,566","          0.94"
"서울특별시 도봉구 (1132000000)","307,740","138,210","          2.23","149,281","158,459","          0.94"
"서울특별시 노원구 (1135000000)","499,989","218,367","          2.29","240,084","259,905","          0.92"
"서울특별시 은평구 (1138000000)","467,098","215,776","          2.16","221,977","245,121","          0.91"
"서울특별시 서대문구 (1141000000)","307,441","147,333","          2.09","146,119","161,322","          0.91"
"서울특별시 마포구 (1144000000)","364,257","181,192","          2.01","170,296","193,961","          0.88"
"서울특별시 양천구 (1147000000)","437,401","181,072","          2.42","213,648","223,753","          0.95"
"서울특별시 강서구 (1150000000)","564,339","274,249","          2.06","270,491","293,848","          0.92"
"서울특별시 구로구 (1153000000)","393,929","184,467","          2.14","193,258","200,671","          0.96"
"서울특별시 금천구 (1154500000)","228,611","120,650","          1.89","115,038","113,573","          1.01"
"서울특별시 영등포구 (1156000000)","375,586","190,761","          1.97","184,175","191,411","          0.96"
"서울특별시 동작구 (1159000000)","380,154","187,199","          2.03","183,880","196,274","          0.94"
"서울특별시 관악구 (1162000000)","485,172","286,045","          1.70","244,198","240,974","          1.01"
"서울특별시 서초구 (1165000000)","406,404","169,621","          2.40","193,703","212,701","          0.91"
"서울특별시 강남구 (1168000000)","540,957","238,647","          2.27","258,656","282,301","          0.92"
"서울특별시 송파구 (1171000000)","655,744","286,123","          2.29","315,224","340,520","          0.93"
"서울특별시 강동구 (1174000000)","458,385","203,120","          2.26","224,075","234,310","          0.96"
"부산광역시  (2600000000)","3,300,836","1,565,115","          2.11","1,609,650","1,691,186","          0.95"
"부산광역시 중구 (2611000000)","38,956","23,874","          1.63","18,873","20,083","          0.94"
"부산광역시 서구 (2614000000)","104,251","53,510","          1.95","50,142","54,109","          0.93"
"부산광역시 동구 (2617000000)","88,069","47,503","          1.85","42,920","45,149","          0.95"
"부산광역시 영도구 (2620000000)","107,003","54,425","          1.97","52,565","54,438","          0.97"
"부산광역시 부산진구 (2623000000)","358,316","181,219","          1.98","172,142","186,174","          0.92"
"부산광역시 동래구 (2626000000)","271,877","119,933","          2.27","131,458","140,419","          0.94"
"부산광역시 남구 (2629000000)","254,599","118,470","          2.15","124,105","130,494","          0.95"
"부산광역시 북구 (2632000000)","274,961","123,253","          2.23","135,247","139,714","          0.97"
"부산광역시 해운대구 (2635000000)","382,115","170,022","          2.25","183,135","198,980","          0.92"
"부산광역시 사하구 (2638000000)","299,416","141,165","          2.12","148,576","150,840","          0.98"
"부산광역시 금정구 (2641000000)","217,429","106,616","          2.04","106,123","111,306","          0.95"
"부산광역시 강서구 (2644000000)","142,886","62,513","          2.29","74,062","68,824","          1.08"
"부산광역시 연제구 (2647000000)","202,884","94,338","          2.15","97,043","105,841","          0.92"
"부산광역시 수영구 (2650000000)","175,150","88,357","          1.98","82,247","92,903","          0.89"
"부산광역시 사상구 (2653000000)","203,749","100,053","          2.04","102,280","101,469","          1.01"
"부산광역시 기장군 (2671000000)","179,175","79,864","          2.24","88,732","90,443","          0.98"
"대구광역시  (2700000000)","2,377,801","1,092,536","          2.18","1,168,679","1,209,122","          0.97"
"대구광역시 중구 (2711000000)","86,714","43,916","          1.97","41,480","45,234","          0.92"
"대구광역시 동구 (2714000000)","342,476","162,098","          2.11","167,836","174,640","          0.96"
"대구광역시 서구 (2717000000)","159,896","82,020","          1.95","79,474","80,422","          0.99"
"대구광역시 남구 (2720000000)","140,404","76,333","          1.84","67,115","73,289","          0.92"
"대구광역시 북구 (2723000000)","423,657","192,326","          2.20","210,314","213,343","          0.99"
"대구광역시 수성구 (2726000000)","406,915","171,306","          2.38","196,129","210,786","          0.93"
"대구광역시 달서구 (2729000000)","531,782","236,717","          2.25","261,011","270,771","          0.96"
"대구광역시 달성군 (2771000000)","262,850","114,169","          2.30","133,381","129,469","          1.03"
"대구광역시 군위군 (2772000000)","23,107","13,651","          1.69","11,939","11,168","          1.07"
"인천광역시  (2800000000)","2,987,918","1,344,029","          2.22","1,494,725","1,493,193","          1.00"
"인천광역시 중구 (2811000000)","157,595","78,508","          2.01","81,663","75,932","          1.08"
"인천광역시 중구영종출장소 (2811400000)","0","0","          0.00","0","0","          0.00"
